name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week_chart,custom_index
Bitcoin,"$30,366.42",0.1,-0.6,-0.26,"$589,904,521,155","$14,820,506,415","19,427,806",https://coinmarketcap.com/currencies/bitcoin/?period=7d,-50508.15
Ethereum,"$1,870.13",0.17,-0.35,-2.1,"$224,790,943,499","$6,345,443,398","120,207,913",https://coinmarketcap.com/currencies/ethereum/?period=7d,-2524214.79
Tether,$1.00,0.0,-0.02,-0.02,"$83,382,450,028","$20,670,016,833","83,373,482,925",https://coinmarketcap.com/currencies/tether/?period=7d,-16676490.01
BNB,$243.79,0.04,-1.84,1.92,"$38,001,319,988","$512,563,267","155,849,326",https://coinmarketcap.com/currencies/bnb/?period=7d,2992843.61
USD Coin,$1.00,0.01,0.0,0.01,"$27,245,763,071","$3,113,885,630","27,242,776,689",https://coinmarketcap.com/currencies/usd-coin/?period=7d,2724576.31
XRP,$0.4705,0.08,-1.16,-1.6,"$24,735,265,572","$714,411,039","52,544,091,958",https://coinmarketcap.com/currencies/xrp/?period=7d,-8411567.46
Cardano,$0.2877,0.14,-1.32,1.24,"$10,063,107,609","$175,513,114","34,970,155,984",https://coinmarketcap.com/currencies/cardano/?period=7d,4337244.85
Dogecoin,$0.06455,0.02,-0.77,-3.73,"$9,045,775,780","$156,660,436","140,147,626,384",https://coinmarketcap.com/currencies/dogecoin/?period=7d,-5227071.05
Solana,$21.99,-0.19,-0.05,16.79,"$8,857,710,339","$544,787,418","402,772,587",https://coinmarketcap.com/currencies/solana/?period=7d,67631176.26
Litecoin,$96.03,0.23,-0.61,-5.91,"$7,044,399,804","$516,561,595","73,346,939",https://coinmarketcap.com/currencies/litecoin/?period=7d,-4335353.83
TRON,$0.07764,-0.03,0.28,0.9,"$6,976,338,099","$133,020,615","89,809,398,426",https://coinmarketcap.com/currencies/tron/?period=7d,808694.52
Polygon,$0.7242,0.47,-2.02,7.98,"$6,749,908,468","$308,257,319","9,319,469,069",https://coinmarketcap.com/currencies/polygon/?period=7d,7437761.61
Polkadot,$5.12,-0.07,-1.14,-1.64,"$6,170,734,768","$110,591,875","1,204,103,627",https://coinmarketcap.com/currencies/polkadot-new/?period=7d,-19765634.8
